fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality [cat],id
7.7,0.41,0.76,1.8,0.611,8,45,99.68,3.06,1.26,9.4,5,258
9.2,0.52,1,3.4,0.61,32,69,99.96,2.74,2,9.4,4,151
7.8,0.41,0.68,1.7,0.467,18,69,99.73,3.08,1.31,9.3,5,106
8.6,0.49,0.51,2,0.422,16,62,99.79,3.03,1.17,9,5,692
8.7,0.78,0.51,1.7,0.415,12,66,99.623,3,1.17,9.2,5,1370
8.7,0.78,0.51,1.7,0.415,12,66,99.623,3,1.17,9.2,5,1372
7.8,0.48,0.68,1.7,0.415,14,32,99.656,3.09,1.06,9.1,6,754
8.5,0.46,0.59,1.4,0.414,16,45,99.702,3.03,1.34,9.2,5,1051
9.1,0.76,0.68,1.7,0.414,18,64,99.652,2.9,1.33,9.1,6,1319
8.6,0.635,0.68,1.8,0.403,19,56,99.632,3.02,1.15,9.3,5,1260
9.5,0.55,0.66,2.3,0.387,12,37,99.82,3.17,0.67,9.6,5,730
7.7,0.27,0.68,3.5,0.358,5,10,99.72,3.25,1.08,9.9,7,281
7.9,0.32,0.51,1.8,0.341,17,56,99.69,3.04,1.08,9.2,6,19
8.9,0.59,0.5,2,0.337,27,81,99.64,3.04,1.61,9.5,6,226
7.5,0.49,0.2,2.6,0.332,8,14,99.68,3.21,0.9,10.5,6,42
8.9,0.61,0.49,2,0.27,23,110,99.72,3.12,1.02,9.3,5,181
8.9,0.635,0.37,1.7,0.263,5,62,99.71,3,1.09,9.3,5,240
9.8,0.5,0.49,2.6,0.25,5,20,99.9,3.31,0.79,10.7,6,568
6.9,0.635,0.17,2.4,0.241,6,18,99.61,3.4,0.59,10.3,6,777
6.9,0.63,0.33,6.7,0.235,66,115,99.787,3.22,0.56,9.5,5,1558
6.4,0.36,0.53,2.2,0.23,19,35,99.34,3.37,0.93,12.4,6,1570
8.7,0.7,0.24,2.5,0.226,5,15,99.91,3.32,0.6,9,6,567
8.3,0.49,0.36,1.8,0.222,6,16,99.8,3.18,0.6,9.5,6,666
10.2,0.54,0.37,15.4,0.214,55,95,100.369,3.18,0.77,9,6,1434
10.3,0.43,0.44,2.4,0.214,5,12,99.94,3.19,0.63,9.5,6,308
10.3,0.41,0.42,2.4,0.213,6,14,99.94,3.19,0.62,9.5,6,307
9.9,0.5,0.5,13.8,0.205,48,82,100.242,3.16,0.75,8.8,5,1474
9.9,0.5,0.5,13.8,0.205,48,82,100.242,3.16,0.75,8.8,5,1476
10.4,0.61,0.49,2.1,0.2,5,16,99.94,3.16,0.63,8.4,3,517
