Name,Closed and Semi-Closed Games,Flank Openings,Indian Defences,Open Games,Semi-Open Games
"Korchnoi, Viktor",26.009999999999998,35.269999999999996,30.37,2.74,5.07
"Timman, Jan H.",16.61,20.35,16.48,18.75,27.8
"Beliavsky, Alexander G.",30.98,13.040000000000001,33.160000000000004,7.8100000000000005,15.38
"Shirov, Alexei",9.58,3.1500000000000004,11.030000000000001,37.45,39.06
"Ivanchuk, Vasyl",20.82,15.16,18.72,21.85,22.88
"Adams, Michael",1.7,5.21,0.62,41.33,51.54
"Portisch, Lajos",29.82,28.62,37.97,1.44,2.68
"Gligoric, Svetozar",27.1,13.83,38.06,10.41,11.08
"Van Wely, Loek",38.82,25.54,34.19,0.56,0.64
"Romanishin, Oleg M.",19.2,40.18,19.29,8.85,12.88
"Short, Nigel D.",3.01,6.25,2.55,35.21,53.410000000000004
"Sokolov, Ivan",44.92,16.12,37.03,1.06,1.06
"Ftacnik, Lubomir",33.44,34.33,30.98,0.09,1.43
"Gelfand, Boris",36.44,19.44,37.24,3.06,3.96
"Kozul, Zdenko",38.17,21.61,39.45,0.0,0.63
"Hort, Vlastimil",17.07,25.94,23.53,11.06,22.89
"Uhlmann, Wolfgang",29.48,44.269999999999996,24.7,0.18,1.61
"Anand, Viswanathan",7.33,3.35,4.4399999999999995,42.75,41.7
"Smyslov, Vasily",12.53,34.47,17.13,13.73,21.54
"Svidler, Peter",7.25,11.3,2.52,37.93,40.55
"Larsen, Bent",11.67,50.81,16.11,7.83,14.48
"Georgiev, Kiril",31.080000000000002,21.55,30.5,6.31,10.05
"Dreev, Aleksey",46.24,13.55,35.41,1.19,3.29
"Karpov, Anatoly",27.400000000000002,14.17,23.83,12.55,22.4
"Jansa, Vlastimil",1.0,8.82,1.6800000000000002,32.22,56.44
"Navara, David",20.6,12.5,16.7,24.6,25.7
"Tiviakov, Sergei",0.1,0.49,0.0,42.2,57.22
"Andersson, Ulf",17.99,54.58,13.99,3.44,10.38
"Aronian, Levon",29.82,28.95,21.07,10.38,9.25
"Krasenkow, Michal",43.08,25.32,28.63,0.65,2.27
"Bacrot, Etienne",27.35,13.47,22.93,19.41,16.41
"Ivkov, Borislav",17.82,24.55,26.06,15.39,16.6
"Tal, Mikhail N.",9.52,14.85,9.03,28.67,37.57
"Damljanovic, Branko",14.47,48.77,21.71,3.2399999999999998,12.39
"Vachier-Lagrave, Maxime",10.26,11.9,4.71,46.28,27.29
"Miles, Anthony J.",20.03,46.95,23.14,4.56,5.92
"Vaganian, Rafael A.",25.95,47.13,24.17,0.44,2.51
"Naiditsch, Arkadij",2.85,9.459999999999999,1.83,38.76,46.74
"Geller, Efim P.",14.59,10.42,14.85,24.33,35.34
"Bologan, Victor",6.02,1.41,5.8100000000000005,38.73,48.19
"Mamedyarov, Shakriyar",46.56,17.94,28.0,4.07,4.0600000000000005
"Rozentalis, Eduardas",1.4,1.95,0.11,34.95,61.65
"Nikolic, Predrag",40.62,27.16,30.93,0.55,0.44
"Caruana, Fabiano",11.13,8.45,11.17,39.14,29.650000000000002
"Smirin, Ilia",2.14,5.84,3.27,37.05,52.16
"Korneev, Oleg",0.33,0.99,0.11,38.24,60.08
"Movsesian, Sergei",1.21,13.42,2.09,36.38,47.06
"Socko, Bartosz",13.860000000000001,10.84,17.1,20.89,36.61
"Taimanov, Mark E.",24.51,44.02,25.04,1.42,5.3999999999999995
"Spassky, Boris V.",13.24,10.28,15.790000000000001,25.98,33.769999999999996
"Grischuk, Alexander",17.650000000000002,11.120000000000001,12.5,29.37,29.1
"Gurevich, Mikhail",31.650000000000002,36.14,31.169999999999998,0.22,0.55
"Huebner, Robert",15.11,27.86,16.919999999999998,14.82,25.55
"Farago, Ivan",35.51,23.93,40.61,0.12,0.12
"Jussupow, Artur",36.33,24.87,35.54,0.48,2.54
"Kramnik, Vladimir",36.62,26.36,21.06,8.77,7.63
"Epishin, Vladimir",39.44,23.34,33.25,0.77,2.71
"Carlsen, Magnus",22.14,16.34,15.43,25.16,20.47
"Cheparinov, Ivan",23.119999999999997,8.6,24.48,22.78,20.57
"Tukmakov, Vladimir B.",24.72,22.3,33.23,7.6,11.67
"Harikrishna, Pentala",19.919999999999998,18.599999999999998,20.28,23.28,18.0
"Hector, Jonny",2.79,0.96,0.0,34.89,61.129999999999995
"Fressinet, Laurent",22.63,15.649999999999999,12.64,21.61,26.95
