Name,Alekhine Defense,Amar Opening,Amazon Attack,Anderssen's Opening,Australian Defense,Barnes Defense,Barnes Opening,Benko Gambit,Benko Gambit Accepted,Benko Gambit Declined,Benoni Defense,Bird Opening,Bishop's Opening,Blackmar-Diemer Gambit,Blackmar-Diemer Gambit Accepted,Blackmar-Diemer Gambit Declined,Blumenfeld Countergambit,Blumenfeld Countergambit Accepted,Bogo-Indian Defense,Borg Defense,Canard Opening,Caro-Kann Defense,Carr Defense,Catalan Opening,Center Game,Clemenz Opening,Colle System,Czech Defense,Danish Gambit,Danish Gambit Accepted,Danish Gambit Declined,Duras Gambit,Dutch Defense,East Indian Defense,Elephant Gambit,English Defense,English Opening,English Orangutan,Englund Gambit,Englund Gambit Declined,Four Knights Game,French Defense,Grob Opening,Grünfeld Defense,Gunderam Defense,Horwitz Defense,Hungarian Opening,Indian Defense,Italian Game,Kangaroo Defense,King's Gambit,King's Gambit Accepted,King's Gambit Declined,King's Indian Attack,King's Indian Defense,King's Knight Opening,King's Pawn Game,Kádas Opening,Lasker Simul Special,Latvian Gambit,Latvian Gambit Accepted,Lion Defense,London System,Marienbad System,Mexican Defense,Mieses Opening,Mikenas Defense,Modern Defense,Montevideo Defense,Neo-Grünfeld Defense,Nimzo-Indian Defense,Nimzo-Larsen Attack,Nimzowitsch Defense,Old Indian Defense,Owen Defense,Paleface Attack,Petrov's Defense,Philidor Defense,Pirc Defense,Polish Defense,Polish Opening,Ponziani Opening,Portuguese Opening,Pseudo Queen's Indian Defense,Pterodactyl Defense,Queen's Gambit,Queen's Gambit Accepted,Queen's Gambit Declined,Queen's Indian Accelerated,Queen's Indian Defense,Queen's Pawn Game,"Queen's Pawn, Mengarini Attack",Rapport-Jobava System,"Rapport-Jobava System, with e6",Rat Defense,Richter-Veresov Attack,Robatsch Defense,Rubinstein Opening,Ruy Lopez,Réti Opening,Saragossa Opening,Scandinavian Defense,Scotch Game,Semi-Slav Defense,Semi-Slav Defense Accepted,Sicilian Defense,Slav Defense,Slav Indian,Sodium Attack,St. George Defense,Tarrasch Defense,Three Knights Opening,Torre Attack,Trompowsky Attack,Valencia Opening,Van Geet Opening,Van't Kruijs Opening,"Vienna Gambit, with Max Lange Defense",Vienna Game,Vulture Defense,Wade Defense,Ware Defense,Ware Opening,Yusupov-Rubinstein System,Zukertort Opening
"Korchnoi, Viktor",0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.57,2.13,0.05,0.0,0.0,0.0,0.0,0.05,0.1,1.25,0.0,0.0,1.07,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.1,0.0,0.1,21.82,0.0,0.0,0.0,0.0,1.1,0.0,3.3,0.0,0.21,0.73,1.56,0.26,0.05,0.0,0.1,0.0,2.0700000000000003,12.11,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.5700000000000001,9.47,0.36,0.0,0.72,0.0,0.0,0.05,0.05,0.16,0.0,0.05,0.0,0.0,0.0,0.05,0.0,1.6400000000000001,10.51,0.0,3.5,0.6699999999999999,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.18,0.61,0.0,0.15000000000000002,0.0,4.41,0.0,2.7600000000000002,4.2,0.16,0.0,0.0,0.92,0.0,0.26,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,1.19
"Timman, Jan H.",0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.21000000000000002,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2200000000000002,0.0,0.0,4.13,0.0,0.27,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.07,10.09,0.0,0.0,0.0,0.07,6.050000000000001,0.0,2.5500000000000003,0.0,0.0,0.27,0.8200000000000001,0.55,0.07,0.0,0.0,0.0,2.74,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.4,4.96,0.14,0.07,0.34,0.07,0.0,2.2800000000000002,0.4,1.89,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.4900000000000002,6.6000000000000005,0.0,5.86,0.4,0.0,0.0,0.0,0.13,0.0,0.0,0.0,8.46,0.34,0.0,0.47000000000000003,0.94,1.82,0.0,20.35,2.6100000000000003,0.27,0.0,0.0,0.74,0.0,1.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001
"Beliavsky, Alexander G.",0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.1,0.21000000000000002,2.64,0.0,0.0,0.0,0.0,0.0,0.07,0.0,2.21,0.0,0.0,1.4000000000000001,0.0,7.029999999999999,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.21000000000000002,4.28,0.0,0.0,0.0,0.07,2.5100000000000002,0.0,6.06,0.0,0.07,0.0,0.6900000000000001,0.07,0.14,0.0,0.0,0.0,0.21000000000000002,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.6300000000000001,0.0,0.28,7.800000000000001,0.0,0.14,0.49000000000000005,0.0,0.0,0.6300000000000001,0.28,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,7.76,0.07,6.37,0.41000000000000003,0.0,0.0,0.0,0.07,0.0,0.0,0.0,4.11,0.28,0.0,0.07,0.14,5.59,0.0,10.59,6.5,0.14,0.0,0.0,0.8300000000000001,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
"Shirov, Alexei",0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.7,0.0,0.56,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,7.02,0.0,0.91,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.14,0.07,0.0,0.0,0.0,1.12,8.870000000000001,0.0,2.09,0.0,0.0,0.0,0.21000000000000002,0.8400000000000001,0.28,0.0,0.14,0.0,0.21000000000000002,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,3.7600000000000002,0.0,0.0,0.0,0.0,0.0,4.95,1.11,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,2.8000000000000003,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,0.0,0.0,0.77,0.56,1.05,0.0,28.61,2.38,0.0,0.0,0.0,0.14,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.42000000000000004
"Ivanchuk, Vasyl",0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.95,0.0,0.15,0.0,0.0,0.0,0.15,0.0,1.48,0.0,0.0,3.69,0.0,1.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.07,8.9,0.0,0.0,0.0,0.5800000000000001,4.32,0.0,3.54,0.0,0.0,0.22,1.62,1.09,0.22,0.0,0.29000000000000004,0.07,0.72,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.37,0.0,0.0,0.0,0.0,0.43000000000000005,0.0,0.88,5.36,0.07,0.0,0.22,0.0,0.0,2.8,0.22,1.4,0.0,0.07,0.0,0.0,0.07,0.0,0.0,1.17,7.95,0.0,3.5,0.21000000000000002,0.0,0.0,0.0,0.07,0.0,0.0,0.0,11.23,0.29000000000000004,0.0,0.29000000000000004,0.96,2.42,0.07,17.0,4.21,0.22,0.0,0.0,0.44,0.0,0.22,0.44,0.0,0.07,0.0,0.0,0.14,0.0,0.15,0.0,0.0,0.0,0.51
"Adams, Michael",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06,0.0,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,1.0,11.68,0.0,0.0,0.08,0.0,0.08,0.08,2.43,0.0,0.0,0.16,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,0.0,0.0,0.0,0.31,0.08,0.0,0.0,0.0,4.02,0.31,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.16,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.81,0.0,0.0,0.7,0.23,0.16,0.0,40.19,0.47,0.0,0.0,0.0,0.0,0.0,0.08,2.0500000000000003,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
"Portisch, Lajos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.08,3.85,0.0,0.0,0.0,0.0,0.0,0.08,0.0,2.2,0.0,0.0,0.63,0.0,0.8600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.08,0.0,0.39,14.32,0.0,0.0,0.0,0.0,0.96,0.0,4.69,0.0,0.16,0.0,0.79,0.0,0.24,0.0,0.0,0.0,0.95,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.08,0.0,0.0,1.24,0.0,1.18,11.63,0.0,0.0,0.8700000000000001,0.0,0.0,0.0,0.0,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,2.52,11.879999999999999,0.0,7.03,0.8600000000000001,0.0,0.0,0.0,0.55,0.0,0.08,0.0,0.4,0.08,0.0,0.0,0.0,4.93,0.0,1.89,2.98,0.23,0.0,0.0,0.9400000000000001,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.31,0.0,0.0,0.0,1.26
"Gligoric, Svetozar",0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.48,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,2.18,0.0,0.4,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,2.0300000000000002,0.0,0.0,0.08,0.7100000000000001,0.0,0.0,0.0,0.0,4.07,0.0,6.47,0.0,0.08,0.0,0.55,0.08,0.08,0.0,0.0,0.0,0.23,10.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.79,0.0,0.63,25.13,0.0,0.0,1.25,0.0,0.0,0.63,0.0,1.9500000000000002,0.0,0.0,0.0,0.0,0.08,0.16,0.0,3.52,8.66,0.23,1.11,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,0.0,0.0,0.08,0.0,3.43,0.0,5.75,3.21,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
"Van Wely, Loek",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.28,0.24,1.6,0.0,0.0,0.0,0.0,0.0,0.16,0.0,3.45,0.0,0.0,0.08,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.08,0.0,0.48000000000000004,10.73,0.0,0.0,0.0,0.0,0.4,0.0,4.98,0.0,0.32,0.16,1.28,0.0,0.8,0.0,0.0,0.0,1.92,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.08,0.0,0.4,6.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,13.31,0.08,9.71,1.12,0.0,0.0,0.0,0.16,0.0,0.08,0.0,0.08,0.24,0.0,0.0,0.08,6.1000000000000005,0.0,0.48,8.98,0.0,0.0,0.0,1.12,0.0,0.24000000000000002,0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.9600000000000001
"Romanishin, Oleg M.",0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3199999999999998,0.0,0.0,0.97,0.0,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,9.959999999999999,0.0,0.0,0.0,0.0,2.04,0.0,0.53,0.0,0.61,0.09,11.850000000000001,0.09,0.0,0.0,0.0,0.0,7.99,6.17,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.09,3.07,1.93,0.0,0.18,0.43999999999999995,0.0,0.0,0.44999999999999996,0.09,1.06,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1.78,3.3699999999999997,0.0,3.9899999999999998,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09,0.09,0.0,0.18,0.0,2.55,0.0,9.96,5.7,0.09,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13
