Gemeinde,Sprachgebiet,Kanton,Bezirk,Artikel zur Gleichstellung von Mann und Frau,Konsumentenschutz-Artikel,Weiterführung der Finanzordnung,Revision des Strafgesetzes (Gewaltverbrechen),Ausländergesetz,Preisüberwachungs-Initiative,Gegenentwurf zur Preisüberwachungs-Initiative,Neuregelung der Treibstoffzölle,Energieartikel,Reform der Bürgerrechtsregelung in der Bundesverfassung,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,Einführung einer Schwerverkehrsabgabe,Einführung der Autobahnvignette,Zivildienst-Initiative,Initiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»,Initiative «Gegen den Ausverkauf der Heimat»,Initiative «für eine Zukunft ohne weitere Atomkraftwerke»,Initiative «für eine umweltgerechte Energieversorgung»,Initiative «für einen wirksamen Schutz der Mutterschaft»,Radio- und Fernsehartikel,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,Aufhebung der Bundesbeiträge für den Primarschulunterricht
Aeugst am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,49.39341421,49.04679376,39.77086743,47.34299517,47.02093398,42.97124601,42.97124601,42.04724409,42.20472441,47.19626168,47.6635514,52.61538462,52.61538462,52.15384615,55.3030303,55.15151515,58.75190259,58.59969559,47.85276074,47.6993865,47.85276074,43.73088685
Affoltern am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,34.27250715,33.92031697,34.71289274,37.67838126,37.72097977,29.49957948,29.49957948,31.64503977,31.54039347,39.03035241,39.37665512,53.61641609,53.53514831,53.63673304,44.43996777,44.3190975,43.57898942,43.47912922,35.38308458,35.06467662,35.26368159,34.52006294
Bonstetten,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,41.17647059,40.8929837,44.25476034,61.9078105,61.52368758,37.72642099,37.72642099,42.89230769,42.95384615,58.36782969,58.4861029,66.48904677,66.48904677,66.37063351,52.33589592,52.39503253,53.24751317,53.24751317,44.69339623,44.45754717,44.5754717,49.14353219
Hausen am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,33.83458647,33.68421053,41.08695652,42.75717285,42.68719384,33.51724138,33.51724138,42.24376731,41.966759,46.46194927,46.92923899,63.11962987,63.11962987,63.51619299,47.12871287,47.19471947,53.97543633,53.97543633,44.44444444,44.12144703,44.50904393,41.7996171
Hedingen,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,36.59919028,36.68016194,36.84210526,40.38004751,40.38004751,31.39904611,31.39904611,37.12948518,37.12948518,41.00156495,41.23630673,56.90607735,56.74822415,56.98500395,45.44049459,45.28593509,46.75324675,46.60045837,35.37051184,33.53705118,34.91214668,40.53639847
Kappel am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,51.21293801,50.40431267,52.75590551,55.40897098,54.88126649,37.76595745,37.76595745,50.93333333,50.93333333,49.87080103,50.12919897,69.64285714,69.13265306,69.64285714,51.42118863,51.67958656,62.1483376,61.63682865,48.49246231,48.24120603,48.24120603,52.09876543
Knonau,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,58.88324873,58.71404399,55.89225589,58.00344234,57.65920826,53.57766143,53.57766143,59.89583333,60.24305556,62.30366492,62.65270506,73.51916376,73.34494774,73.51916376,67.30434783,67.30434783,72.93103448,73.27586207,61.74957118,60.72041166,61.92109777,65.40447504
Maschwanden,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,52.44755245,52.7972028,57.24137931,60.2739726,58.21917808,50.67567568,50.67567568,59.5890411,58.90410959,56.36942675,56.68789809,76.50793651,76.50793651,76.19047619,64.3533123,62.14511041,65.71428571,65.07936508,59.87261147,58.28025478,59.87261147,61.09324759
Mettmenstetten,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,44.5229682,44.09893993,41.13968033,48.31383345,48.52030282,37.45774172,37.45774172,41.36786189,40.70385126,47.03363914,47.1559633,60.69711539,60.81730769,60.81730769,47.56820878,47.39027284,50,49.94103774,47.106955,46.63939217,46.87317358,48.20482637
Obfelden,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,31.37860082,31.22427984,30.37525355,35.36463537,35.41458542,26.47058824,26.47058824,33.02393747,32.7308256,37.11194732,37.2060207,52.64900662,52.64900662,52.50709555,38.71268657,38.66604478,43.3056325,43.25946445,31.97807218,32.02375514,31.93238922,35.03616637
