Abstimmung,Artikel zur Gleichstellung von Mann und Frau,Konsumentenschutz-Artikel,Weiterführung der Finanzordnung,Revision des Strafgesetzes (Gewaltverbrechen),Ausländergesetz,Preisüberwachungs-Initiative,Gegenentwurf zur Preisüberwachungs-Initiative,Neuregelung der Treibstoffzölle,Energieartikel,Reform der Bürgerrechtsregelung in der Bundesverfassung,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,Einführung einer Schwerverkehrsabgabe,Einführung der Autobahnvignette,Zivildienst-Initiative,Initiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»,Initiative «Gegen den Ausverkauf der Heimat»,Initiative «für eine Zukunft ohne weitere Atomkraftwerke»,Initiative «für eine umweltgerechte Energieversorgung»,Initiative «für einen wirksamen Schutz der Mutterschaft»,Radio- und Fernsehartikel,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,Aufhebung der Bundesbeiträge für den Primarschulunterricht
Abstimmungsgrund,Direkter Gegenentwurf,Direkter Gegenentwurf,Obligatorisches Referendum,Fakultatives Referendum,Fakultatives Referendum,Volksinitiative,Direkter Gegenentwurf,Obligatorisches Referendum,Obligatorisches Referendum,Obligatorisches Referendum,Obligatorisches Referendum,Obligatorisches Referendum,Obligatorisches Referendum,Volksinitiative,Volksinitiative,Volksinitiative,Volksinitiative,Volksinitiative,Volksinitiative,Obligatorisches Referendum,Direkter Gegenentwurf,Obligatorisches Referendum
Politikbereich (1. Stufe),Sozialpolitik,Wirtschaft,öffentliche Finanzen,Staatsordnung,Sozialpolitik,Wirtschaft,Wirtschaft,Verkehr und Infrastruktur,Energie,Staatsordnung,Staatsordnung,Verkehr und Infrastruktur,Verkehr und Infrastruktur,Sicherheitspolitik,Wirtschaft,Umwelt und Lebensraum,Energie,Energie,Sozialpolitik,"Kultur, Religion, Medien",Sozialpolitik,Bildung und Forschung
Politikbereich (2. Stufe),Soziale Gruppen,Wirtschaftspolitik,Finanzordnung,Rechtsordnung,Soziale Gruppen,Wirtschaftspolitik,Wirtschaftspolitik,Strassenverkehr,Energiepolitik,Rechtsordnung,Rechtsordnung,Strassenverkehr,Strassenverkehr,Armee,Finanzwesen,Boden,Kernenergie,Energiepolitik,Sozialversicherungen,Medien und Kommunikation,Sozialversicherungen,Schulen
Federführendes Departement,EJPD (Justiz und Polizei),"WBF (Wirtschaft, Bildung und Forschung)",EFD (Finanzdepartement),EJPD (Justiz und Polizei),EJPD (Justiz und Polizei),"WBF (Wirtschaft, Bildung und Forschung)","WBF (Wirtschaft, Bildung und Forschung)",EFD (Finanzdepartement),"UVEK (Umwelt, Verkehr, Energie und Kommunikation)",EJPD (Justiz und Polizei),EJPD (Justiz und Polizei),"UVEK (Umwelt, Verkehr, Energie und Kommunikation)","UVEK (Umwelt, Verkehr, Energie und Kommunikation)","VBS (Verteidigung, Bevölkerungsschutz und Sport)",EFD (Finanzdepartement),EJPD (Justiz und Polizei),"UVEK (Umwelt, Verkehr, Energie und Kommunikation)","UVEK (Umwelt, Verkehr, Energie und Kommunikation)",EDI (Departement des Innern),"UVEK (Umwelt, Verkehr, Energie und Kommunikation)",EJPD (Justiz und Polizei),EJPD (Justiz und Polizei)
Position Bundesrat,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Ablehnend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Befürwortend,Befürwortend,Befürwortend
Position Parlament,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Ablehnend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Befürwortend,Befürwortend,Befürwortend
Position Nationalrat,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Ablehnend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Befürwortend,Befürwortend,Befürwortend
Position Ständerat,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Ablehnend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Befürwortend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Ablehnend,Befürwortend,Befürwortend,Befürwortend
Jahr,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1985
Monat,6,6,11,6,6,11,11,2,2,12,12,2,2,2,5,5,9,9,12,12,12,3
